"","Age","Price","Age_correct","KM","FuelType","CC","Weight","Fueltype_num"
"7",22,16900,27,94612,"Diesel",2000,1245,1
"19",21,16750,24,25563,"Petrol",1600,1065,2
"20",21,16950,30,64359,"Petrol",1600,1105,2
"22",28,16950,29,43905,"Petrol",1600,1170,2
"36",27,15750,26,43000,"Petrol",1400,1100,2
"42",28,16750,27,44068,"Petrol",1400,1100,2
"67",21,18950,28,30993,"Petrol",1600,1130,2
"84",18,17950,31,16238,"Petrol",1600,1180,2
"93",26,19950,16,34472,"Diesel",1995,1260,1
"95",23,18900,20,31850,"Petrol",1600,1120,2
"121",28,18950,13,57037,"Petrol",1600,1115,2
"122",23,19950,19,51099,"Diesel",2000,1255,1
"130",20,15850,13,33477,"Petrol",1600,1075,2
"132",26,15950,20,29797,"Petrol",1400,1110,2
"149",14,19450,19,18328,"Petrol",1600,1130,2
"1",1.85716299159425
