"","Age","Price","Age_correct","KM","FuelType","CC","Weight","Fueltype_num"
"2",24,13500,23,46986,"Diesel",2000,1165,1
"12",27,19950,22,43610,"Petrol",1800,1185,2
"17",23,22750,30,34000,"Petrol",1800,1185,2
"21",23,15950,30,67660,"Petrol",1600,1105,2
"50",22,21950,31,64982,"Petrol",1800,1195,2
"56",24,13250,32,45725,"Petrol",1600,1075,2
"61",23,14950,22,37400,"Petrol",1400,1110,2
"62",24,16500,27,37177,"Petrol",1600,1130,2
"73",22,18950,28,28817,"Petrol",1598,1130,2
"85",18,16650,25,15414,"Petrol",1400,1110,2
"93",26,19950,16,34472,"Diesel",1995,1260,1
"94",22,15950,20,33329,"Petrol",1400,1100,2
"106",19,16950,19,13748,"Petrol",1400,1100,2
"109",24,17950,20,7187,"Petrol",1600,1105,2
"121",24,18950,13,57037,"Petrol",1600,1115,2
"125",24,16950,17,36012,"Petrol",1600,1130,2
"140",21,19900,20,23000,"Petrol",1600,1130,2
"144",20,18500,16,20629,"Petrol",1600,1090,2
"1",0.903828282576325
