"","FuelType","Price","Age","KM","FuelType_orignal","CC","Weight","Fueltype_correct"
"1",0,0,0,0,NA,0,0,0
"7",1,16900,27,94612,"Diesel",2000,1245,1
"10",1,12950,23,71138,"Diesel",1900,1105,1
"14",2,21500,31,23000,"Petrol",1800,1185,2
"16",2,22000,28,18739,"Petrol",1800,1185,2
"18",NA,17950,24,21716,"Petrol",1600,1105,2
"23",2,15950,28,56349,"Petrol",1600,1120,2
"24",2,16950,28,32220,"Petrol",1600,1120,2
"26",2,15950,25,28450,"Petrol",1600,1120,2
"30",2,17950,30,11090,"Petrol",1600,1120,2
"32",2,15750,22,35199,"Petrol",1400,1100,2
"33",2,15950,27,29510,"Petrol",1400,1100,2
"35",2,15500,22,41000,"Petrol",1400,1100,2
"38",2,14950,23,10000,"Petrol",1400,1100,2
"48",1,15800,22,75048,"Petrol",1400,1110,2
"50",1,21950,31,64982,"Petrol",1800,1195,2
"57",NA,15250,28,43210,"Petrol",1400,1110,2
"58",NA,15250,26,43000,"Petrol",1400,1110,2
"65",2,17950,27,32809,"Petrol",1400,1110,2
"69",1,22250,22,30000,"Diesel",2000,1275,1
"71",2,15950,28,29206,"Petrol",1400,1110,2
"76",NA,16950,23,28000,"Petrol",1600,1115,2
"78",2,18450,27,23489,"Petrol",1600,1115,2
"79",2,16895,29,22575,"Petrol",1600,1115,2
"83",2,15450,25,17003,"Petrol",1400,1110,2
"86",2,17450,28,8537,"Petrol",1600,1130,2
"87",2,14900,30,7000,"Petrol",1400,1100,2
"100",2,17450,18,23902,"Petrol",1400,1100,2
"103",2,18500,13,18000,"Petrol",1400,1125,2
"109",2,17950,20,7187,"Petrol",1600,1105,2
"111",1,31000,4,4000,"Diesel",2000,1480,1
"116",1,24990,8,6000,"Diesel",2000,1280,1
"125",2,16950,17,36012,"Petrol",1600,1130,2
"136",NA,16500,19,27821,"Petrol",1400,1110,2
"144",2,18500,16,20629,"Petrol",1600,1090,2
"147",2,20500,20,20000,"Petrol",1600,1165,2
"1",80.5555555555556
