"","FuelType","Price","Age","KM","FuelType_orignal","CC","Weight","Fueltype_correct"
"1",0,0,0,0,NA,0,0,0
"6",2,12950,32,61000,"Diesel",2000,1170,1
"7",1,16900,27,94612,"Diesel",2000,1245,1
"13",2,19600,25,32189,"Petrol",1800,1185,2
"14",2,21500,31,23000,"Petrol",1800,1185,2
"28",2,15750,29,41415,"Petrol",1600,1120,2
"34",2,14950,26,32692,"Petrol",1400,1100,2
"35",2,15500,22,41000,"Petrol",1400,1100,2
"41",2,13950,22,49059,"Petrol",1400,1100,2
"62",2,16500,27,37177,"Petrol",1600,1130,2
"64",2,17950,30,33511,"Petrol",1600,1130,2
"68",2,14950,22,30400,"Petrol",1400,1110,2
"69",2,22250,22,30000,"Diesel",2000,1275,1
"70",2,15950,25,29719,"Petrol",1400,1110,2
"77",2,18750,31,25266,"Petrol",1600,1130,2
"78",2,18450,27,23489,"Petrol",1600,1115,2
"89",2,15950,19,51884,"Petrol",1400,1100,2
"100",2,17450,18,23902,"Petrol",1400,1100,2
"101",2,18990,20,23175,"Petrol",1600,1120,2
"102",2,16250,19,19200,"Petrol",1400,1100,2
"103",2,18500,13,18000,"Petrol",1400,1125,2
"104",2,18500,11,16123,"Petrol",1600,1105,2
"110",1,32500,4,1,"Diesel",2000,1480,1
"118",2,17900,7,1,"Petrol",1600,1105,2
"127",2,15950,20,36000,"Petrol",1600,1075,2
"149",2,19450,19,18328,"Petrol",1600,1130,2
"150",2,20950,14,17896,"Petrol",1600,1150,2
"1",92.5925925925926
