"","Age","Price","Age_correct","KM","FuelType","CC","Weight","Fueltype_num"
"6",24,12950,32,61000,"Diesel",2000,1170,1
"13",22,19600,25,32189,"Petrol",1800,1185,2
"14",21,21500,31,23000,"Petrol",1800,1185,2
"16",21,22000,28,18739,"Petrol",1800,1185,2
"21",23,15950,30,67660,"Petrol",1600,1105,2
"23",26,15950,28,56349,"Petrol",1600,1120,2
"34",20,14950,26,32692,"Petrol",1400,1100,2
"36",27,15750,26,43000,"Petrol",1400,1100,2
"37",19,15950,25,25000,"Petrol",1400,1100,2
"38",24,14950,23,10000,"Petrol",1400,1100,2
"39",20,15750,32,25329,"Petrol",1400,1100,2
"43",24,13950,22,46961,"Petrol",1400,1100,2
"48",26,15800,22,75048,"Petrol",1400,1110,2
"49",25,17950,22,72215,"Diesel",2000,1255,1
"55",23,15500,25,49163,"Petrol",1600,1165,2
"59",22,18950,23,39704,"Petrol",1600,1180,2
"67",22,18950,28,30993,"Petrol",1600,1130,2
"70",20,15950,25,29719,"Petrol",1400,1110,2
"71",19,15950,28,29206,"Petrol",1400,1110,2
"79",21,16895,29,22575,"Petrol",1600,1115,2
"80",20,14900,30,22000,"Petrol",1400,1110,2
"82",18,17250,29,20000,"Petrol",1600,1115,2
"84",15,17950,31,16238,"Petrol",1600,1180,2
"87",24,14900,30,7000,"Petrol",1400,1100,2
"89",23,15950,19,51884,"Petrol",1400,1100,2
"93",25,19950,16,34472,"Diesel",1995,1260,1
"114",8,24950,8,13253,"Diesel",2000,1320,1
"115",10,22950,7,10000,"Diesel",2000,1270,1
"122",23,19950,19,51099,"Diesel",2000,1255,1
"136",22,16500,19,27821,"Petrol",1400,1110,2
"139",21,23000,11,25000,"Diesel",2000,1320,1
"141",20,16450,20,22588,"Petrol",1400,1110,2
"148",22,24500,13,19988,"Petrol",1600,1130,2
"149",17,19450,19,18328,"Petrol",1600,1130,2
"1",0.189929703910285
