"","FuelType","Price","Age","KM","FuelType_orignal","CC","Weight","Fueltype_correct"
"1",0,0,0,0,NA,0,0,0
"10",1,12950,23,71138,"Diesel",1900,1105,1
"19",2,16750,24,25563,"Petrol",1600,1065,2
"28",2,15750,29,41415,"Petrol",1600,1120,2
"29",2,16950,28,44142,"Petrol",1600,1120,2
"34",2,14950,26,32692,"Petrol",1400,1100,2
"40",2,14750,27,27500,"Petrol",1400,1100,2
"44",1,16950,27,110404,"Diesel",2000,1255,1
"47",1,17950,27,79375,"Diesel",2000,1255,1
"51",1,17950,22,62636,"Diesel",2000,1255,1
"58",2,15250,26,43000,"Petrol",1400,1110,2
"64",2,17950,30,33511,"Petrol",1600,1130,2
"67",2,18950,28,30993,"Petrol",1600,1130,2
"80",2,14900,30,22000,"Petrol",1400,1110,2
"91",2,16450,20,48110,"Petrol",1400,1100,2
"100",2,17450,18,23902,"Petrol",1400,1100,2
"122",2,19950,19,51099,"Diesel",2000,1255,1
"123",2,16350,14,40010,"Petrol",1600,1115,2
"131",2,16250,20,32627,"Petrol",1400,1110,2
"133",2,16250,19,29441,"Petrol",1400,1110,2
"135",2,16500,20,29000,"Petrol",1400,1110,2
"139",2,23000,11,25000,"Diesel",2000,1320,1
"145",2,18950,15,20270,"Petrol",1600,1130,2
"1",91.304347826087
