"","FuelType","Price","Age","KM","FuelType_orignal","CC","Weight","Fueltype_correct"
"1",0,0,0,0,NA,0,0,0
"6",2,12950,32,61000,"Diesel",2000,1170,1
"9",2,21500,27,19700,"Petrol",1800,1185,2
"17",2,22750,30,34000,"Petrol",1800,1185,2
"55",2,15500,25,49163,"Petrol",1600,1165,2
"70",2,15950,25,29719,"Petrol",1400,1110,2
"95",2,18900,20,31850,"Petrol",1600,1120,2
"99",2,18750,11,24500,"Petrol",1600,1120,2
"107",2,18800,14,11500,"Petrol",1600,1045,2
"109",2,17950,20,7187,"Petrol",1600,1105,2
"119",1,19250,20,63000,"Diesel",2000,1255,1
"150",2,20950,14,17896,"Petrol",1600,1150,2
"1",90.9090909090909
