"","Age","Price","Age_correct","KM","FuelType","CC","Weight","Fueltype_num"
"16",20,22000,28,18739,"Petrol",1800,1185,2
"27",22,17495,27,34545,"Petrol",1600,1120,2
"40",23,14750,27,27500,"Petrol",1400,1100,2
"65",27,17950,27,32809,"Petrol",1400,1110,2
"80",23,14900,30,22000,"Petrol",1400,1110,2
"95",27,18900,20,31850,"Petrol",1600,1120,2
"98",26,15950,19,25948,"Petrol",1400,1100,2
"102",21,16250,19,19200,"Petrol",1400,1100,2
"106",22,16950,19,13748,"Petrol",1400,1100,2
"115",10,22950,7,10000,"Diesel",2000,1270,1
"127",21,15950,20,36000,"Petrol",1600,1075,2
"129",27,17950,17,33740,"Petrol",1400,1135,2
"140",21,19900,20,23000,"Petrol",1600,1130,2
"1",0.719124274805698
