"","FuelType","Price","Age","KM","FuelType_orignal","CC","Weight","Fueltype_correct"
"1",0,0,0,0,NA,0,0,0
"7",1,16900,27,94612,"Diesel",2000,1245,1
"10",1,12950,23,71138,"Diesel",1900,1105,1
"21",1,15950,30,67660,"Petrol",1600,1105,2
"33",2,15950,27,29510,"Petrol",1400,1100,2
"51",1,17950,22,62636,"Diesel",2000,1255,1
"55",2,15500,25,49163,"Petrol",1600,1165,2
"68",2,14950,22,30400,"Petrol",1400,1110,2
"105",2,19450,11,14635,"Petrol",1600,1155,2
"116",1,24990,8,6000,"Diesel",2000,1280,1
"123",2,16350,14,40010,"Petrol",1600,1115,2
"1",90.9090909090909
